U	1	0
C	100041	2843440
U	100059	0
C	10006	2283031
U	100073	0
C	100083	2843105
C	100095	2731619
C	100163	1754217
U	100199	0
U	100231	0
U	100307	0
U	100352	0
U	100360	0
U	100391	0
C	100403	1269028
U	100472	0
C	100477	2731619
C	100488	10239
C	10049	2070188
C	100519	2731619
C	100544	338781
U	100553	0
U	100569	0
U	100617	0
U	10063|provirus_58_21019	0
U	100679	0
U	100687	0
C	100767	384848
U	100794	0
C	100835	1623305
U	100836	0
U	100837	0
U	100838	0
U	10092	0
U	100937	0
U	1010	0
U	101008	0
U	101032	0
C	101072	2059850
U	101079	0
U	101086	0
U	101098	0
C	10111	330399
U	101150	0
U	101186	0
U	101188	0
U	101209	0
U	101240	0
U	101359	0
U	101360	0
C	101388	2772073
U	101389	0
U	101529|provirus_23413_29016	0
U	101550	0
U	101561	0
U	101581	0
U	101604	0
C	101670	447897
U	101677	0
U	101719	0
U	101721	0
C	101734	2948610
U	101745	0
U	101762	0
U	101781	0
C	101797	2843440
U	101879	0
C	101937	1945741
U	101970	0
U	102041	0
C	102067|provirus_1_42746	12402
U	102094	0
C	102129	2942967
U	102145	0
U	102217	0
C	102227|provirus_113_49242	2772068
C	102251	1923004
U	102321	0
C	102434	2041210
U	102439	0
U	102442	0
U	102444	0
U	102509	0
C	10254	2282206
C	102552	1327974
U	102557	0
U	10259	0
U	102620|provirus_9882_31057	0
U	102628	0
U	102654	0
U	10268	0
U	102683	0
U	102741	0
C	102765	2843105
U	102776	0
C	10278|provirus_6830_25798	1079999
U	102836	0
U	102860	0
C	102928	1643326
C	10294	2847062
U	102980	0
U	103003	0
U	103006	0
U	103015	0
U	103037	0
U	103066	0
U	103087	0
U	103134	0
U	103143	0
U	103154	0
C	103205	1746070
U	103251	0
U	103267	0
U	103291	0
U	103351	0
U	103392	0
U	103421	0
U	103430	0
U	103470	0
U	103478	0
U	103500	0
U	103503	0
U	103508	0
U	103523	0
C	103560|provirus_11373_29240	1623305
U	103604	0
U	103610	0
U	103627	0
U	103671	0
U	103689	0
U	103717	0
C	103754	1327974
C	103774	10239
U	10379	0
C	103797	2773314
U	103809	0
U	103844	0
U	103895	0
U	103918	0
U	103927	0
U	103945	0
U	104	0
C	104007	123630
C	10400|provirus_12339_37793	693272
U	104018	0
C	104020	212035
U	104022	0
U	104040	0
U	104069	0
U	104159|provirus_14566_18188	0
U	104196	0
U	104240	0
U	104245	0
C	104282	2731619
U	104297	0
U	104325	0
C	104334|provirus_2_16345	10239
U	104403	0
U	10447	0
U	104477	0
U	104511	0
U	104527	0
U	104534	0
U	104543	0
U	104580	0
C	104603	2731619
U	10463	0
U	104668	0
U	104721|provirus_3_27240	0
U	104772	0
C	104821	338781
C	104874	1091038
C	104885	10663
U	10491	0
U	104918	0
U	104933	0
C	104980	181083
U	105052	0
C	105076	2731619
C	1051	2059850
U	105115	0
U	105133	0
U	105165	0
C	10523	2731619
C	105316|provirus_1_19732	755164
C	105328	2099624
U	105332	0
U	105337	0
U	105384	0
U	10540	0
U	105417	0
U	105454	0
C	10548	2059850
U	105527	0
U	105530|provirus_3060_24444	0
U	105575	0
U	105649	0
U	105671	0
U	105672	0
U	105680	0
C	105737	2844218
U	10575	0
C	10576	59241
U	105776	0
U	105778|provirus_3060_21156	0
U	10577|provirus_3239_13586	0
C	10578	2948645
U	10583	0
C	105831	399781
C	105839	693272
C	105842	1105171
U	105881	0
U	106070	0
U	106085	0
U	106218	0
U	106309	0
U	106339	0
U	106355	0
C	10636|provirus_179664_199449	2942967
U	10637	0
U	106398	0
U	1064	0
U	106422	0
U	106438	0
U	106466	0
U	10650	0
U	106501	0
U	106644	0
U	106677	0
U	106719	0
C	106722	338781
U	106809	0
C	106869	1754217
U	106918	0
C	106956	2508180
U	106992	0
C	107005	1754217
U	107079	0
C	107105	10239
U	107116	0
U	107123	0
U	107140	0
U	107176	0
U	107181	0
U	107189	0
U	107196	0
U	107243	0
C	107248	2070188
U	107267	0
U	1072|provirus_26_16516	0
U	107303	0
U	10735	0
U	107367	0
C	107370	1572702
U	1073|provirus_17758_32108	0
U	107402	0
C	107467	10239
U	10753	0
U	107609	0
U	107614	0
U	107616	0
U	107633	0
U	107644	0
U	107647	0
U	107657	0
C	10767	2788787
U	107676	0
U	10769	0
U	107738	0
U	107751	0
C	107761	1524882
C	10780	10239
U	107811	0
U	107824	0
C	107826	12402
C	107840	2731619
C	107855	1269028
U	107863	0
U	107998	0
U	108009	0
U	108024|provirus_28236_40221	0
U	108028	0
C	108080	2788787
C	108123|provirus_7659_25280	1079999
U	10817	0
U	108195	0
U	108221	0
U	10823	0
U	108267	0
C	10830	2793733
C	108320	2986405
C	108329	693272
U	108362	0
U	108413	0
U	108435	0
U	108460	0
U	108497	0
U	108512	0
U	108514	0
U	108524	0
U	108537	0
C	108555	2772073
C	108609	123630
U	108692	0
U	10872	0
C	108761	2942979
U	108797	0
U	108808|provirus_5646_15389	0
U	108837	0
C	108878	1754217
C	108906	2584487
U	108928	0
U	108929	0
U	108943	0
C	108945	10239
U	10897	0
U	108975	0
U	109116	0
U	109128	0
U	109138	0
U	109152	0
U	109154	0
U	109179	0
U	109256	0
U	109354	0
U	109373	0
C	10938	123630
U	109410	0
U	109473	0
U	109477	0
U	109600|provirus_5475_13920	0
C	109630	2530024
U	109669	0
